Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,23
Kasabian,Club Foot,54,"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'new rave', 'rock']",Alternative 00s,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43e-05,0.0929,0.101,94.578,35b08f3X5XiuTV0oJHZB9g,spotify:track:35b08f3X5XiuTV0oJHZB9g,https://api.spotify.com/v1/tracks/35b08f3X5XiuTV0oJHZB9g,https://api.spotify.com/v1/audio-analysis/35b08f3X5XiuTV0oJHZB9g,215360,1,1
Waxahatchee,Lilacs,52,"['alabama indie', 'art pop', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']",badass,0.74,0.696,7,-9.447,1,0.0298,0.524,3.12e-05,0.0752,0.426,103.04,69Akwuscu16hdYN637eTis,spotify:track:69Akwuscu16hdYN637eTis,https://api.spotify.com/v1/tracks/69Akwuscu16hdYN637eTis,https://api.spotify.com/v1/audio-analysis/69Akwuscu16hdYN637eTis,195600,4,1
Sports Team,Happy (God’s Own Country),49,"['english indie rock', 'modern alternative rock', 'modern rock']",The New Alt,0.464,0.919,1,-2.497,1,0.111,0.00315,0.000497,0.154,0.703,167.865,3gq7dff87NNO2lJg2is0xS,spotify:track:3gq7dff87NNO2lJg2is0xS,https://api.spotify.com/v1/tracks/3gq7dff87NNO2lJg2is0xS,https://api.spotify.com/v1/audio-analysis/3gq7dff87NNO2lJg2is0xS,151588,4,1
The Clash,London Calling - Remastered,73,"['classic rock', 'permanent wave', 'punk', 'rock']",Alternative 70s,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,5jzma6gCzYtKB1DbEwFZKH,spotify:track:5jzma6gCzYtKB1DbEwFZKH,https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH,https://api.spotify.com/v1/audio-analysis/5jzma6gCzYtKB1DbEwFZKH,200480,4,1
Pom Pom Squad,Head Cheerleader,44,"['bubblegrunge', 'indie rock']",The New Alt,0.525,0.922,7,-6.136,1,0.0735,0.000167,3.5e-06,0.77,0.494,142.971,73DSvDKrNsvmVhvVJGwoGF,spotify:track:73DSvDKrNsvmVhvVJGwoGF,https://api.spotify.com/v1/tracks/73DSvDKrNsvmVhvVJGwoGF,https://api.spotify.com/v1/audio-analysis/73DSvDKrNsvmVhvVJGwoGF,188243,4,1
Island Apollo,Hold It Down,40,[],New Alt-Rock Mixtape,0.571,0.719,8,-7.193,0,0.0288,0.00274,0.000463,0.19,0.613,91.984,0tTxcG6aDLIooKHpchYzyG,spotify:track:0tTxcG6aDLIooKHpchYzyG,https://api.spotify.com/v1/tracks/0tTxcG6aDLIooKHpchYzyG,https://api.spotify.com/v1/audio-analysis/0tTxcG6aDLIooKHpchYzyG,238508,4,1
Dinosaur Jr.,Start Choppin',53,"['alternative pop', 'alternative rock', 'grunge', 'indie rock', 'lo-fi', 'modern rock', 'noise pop', 'noise rock', 'permanent wave', 'post-hardcore', 'post-punk', 'power pop', 'punk', 'rock']",Early Alternative,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813,7yThIhNzpgDBIGoL2y1y6u,spotify:track:7yThIhNzpgDBIGoL2y1y6u,https://api.spotify.com/v1/tracks/7yThIhNzpgDBIGoL2y1y6u,https://api.spotify.com/v1/audio-analysis/7yThIhNzpgDBIGoL2y1y6u,340187,4,1
The Black Keys,Crawling Kingsnake - Edit,56,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",Grade A,0.395,0.824,5,-5.659,0,0.0317,0.0516,0.395,0.206,0.514,83.422,1JM1iGpu8HqprmrKi1ukuP,spotify:track:1JM1iGpu8HqprmrKi1ukuP,https://api.spotify.com/v1/tracks/1JM1iGpu8HqprmrKi1ukuP,https://api.spotify.com/v1/audio-analysis/1JM1iGpu8HqprmrKi1ukuP,232049,4,1
Para One,Dudun-Dun - Boys Noize Remix,14,['filter house'],Bloghouse,0.702,0.594,9,-6.401,1,0.262,0.000157,0.603,0.084,0.521,126.015,14Iij6Tbd42FNrYt4gh4Xf,spotify:track:14Iij6Tbd42FNrYt4gh4Xf,https://api.spotify.com/v1/tracks/14Iij6Tbd42FNrYt4gh4Xf,https://api.spotify.com/v1/audio-analysis/14Iij6Tbd42FNrYt4gh4Xf,376747,4,1
Benny Sings,Sunny Afternoon,51,"['dutch pop', 'indie soul']",Butter,0.833,0.45,1,-9.788,1,0.0829,0.0887,0.00113,0.0873,0.432,101.775,7srVFtzbY8ok5UFzuN0b8P,spotify:track:7srVFtzbY8ok5UFzuN0b8P,https://api.spotify.com/v1/tracks/7srVFtzbY8ok5UFzuN0b8P,https://api.spotify.com/v1/audio-analysis/7srVFtzbY8ok5UFzuN0b8P,171867,4,1
The Hives,Hate To Say I Told You So,68,"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'modern rock', 'new rave', 'rock', 'swedish garage rock', 'swedish hard rock', 'swedish indie rock']",Alternative 00s,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,20j7B6mL9gnNvG3ic6Vwh5,spotify:track:20j7B6mL9gnNvG3ic6Vwh5,https://api.spotify.com/v1/tracks/20j7B6mL9gnNvG3ic6Vwh5,https://api.spotify.com/v1/audio-analysis/20j7B6mL9gnNvG3ic6Vwh5,200693,4,1
The Wannadies,Hit,27,"['swedish alternative rock', 'swedish indie rock']",Alternative 90s,0.342,0.888,7,-4.404,1,0.0617,0.00116,1.18e-05,0.214,0.287,159.118,0kM9RaCDEd5QlAH0i8dINY,spotify:track:0kM9RaCDEd5QlAH0i8dINY,https://api.spotify.com/v1/tracks/0kM9RaCDEd5QlAH0i8dINY,https://api.spotify.com/v1/audio-analysis/0kM9RaCDEd5QlAH0i8dINY,142147,4,1
Wanda Jackson,Funnel Of Love,53,"['nashville sound', 'oklahoma country', 'rock-and-roll', 'rockabilly']",Alternative 60s,0.6,0.593,0,-9.799,1,0.0452,0.726,0.0,0.399,0.912,134.979,6uJXOi796U1D8iW9fj2ZGn,spotify:track:6uJXOi796U1D8iW9fj2ZGn,https://api.spotify.com/v1/tracks/6uJXOi796U1D8iW9fj2ZGn,https://api.spotify.com/v1/audio-analysis/6uJXOi796U1D8iW9fj2ZGn,128427,4,1
Pale Seas,Someday,35,"['shimmer pop', 'shiver pop', 'southampton indie']",New Alt-Rock Mixtape,0.567,0.914,0,-5.969,0,0.0363,0.0106,0.0,0.125,0.667,124.005,3Qmos1rUz0txhLKe2lFCLE,spotify:track:3Qmos1rUz0txhLKe2lFCLE,https://api.spotify.com/v1/tracks/3Qmos1rUz0txhLKe2lFCLE,https://api.spotify.com/v1/audio-analysis/3Qmos1rUz0txhLKe2lFCLE,229067,4,1
Anne Müller,Drifting Circles,36,"['compositional ambient', 'neo-classical']",Not Quite Classical,0.801,0.346,7,-14.296,1,0.11,0.957,0.913,0.0989,0.309,137.971,6povMadfhllQTRhD4LPkAj,spotify:track:6povMadfhllQTRhD4LPkAj,https://api.spotify.com/v1/tracks/6povMadfhllQTRhD4LPkAj,https://api.spotify.com/v1/audio-analysis/6povMadfhllQTRhD4LPkAj,420901,4,1
Lala Lala,Destroyer,47,"['bubblegrunge', 'indie garage rock', 'indie punk', 'indie rock']",badass,0.604,0.594,10,-6.706,1,0.0259,0.757,0.635,0.148,0.333,109.931,3Lllvxi2oA6DIwy2qhPgQx,spotify:track:3Lllvxi2oA6DIwy2qhPgQx,https://api.spotify.com/v1/tracks/3Lllvxi2oA6DIwy2qhPgQx,https://api.spotify.com/v1/audio-analysis/3Lllvxi2oA6DIwy2qhPgQx,192550,4,1
The Strokes,Someday,67,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",Essential Alternative,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,56NkIxSZZiMpFP5ZNSxtnT,spotify:track:56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/tracks/56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/audio-analysis/56NkIxSZZiMpFP5ZNSxtnT,183391,4,1
Bomba Estéreo,Deja,56,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico']",Outliers,0.644,0.831,11,-7.118,0,0.0334,0.138,0.424,0.115,0.252,104.996,70um118ETgSKTghQNF9iEC,spotify:track:70um118ETgSKTghQNF9iEC,https://api.spotify.com/v1/tracks/70um118ETgSKTghQNF9iEC,https://api.spotify.com/v1/audio-analysis/70um118ETgSKTghQNF9iEC,230893,4,1
Maja Lena,Avalanche,49,[],Modern Eclectic,0.415,0.355,6,-10.494,0,0.0316,0.985,0.0932,0.103,0.36,113.993,6cGx4nFQpR8SaDoIUy1r67,spotify:track:6cGx4nFQpR8SaDoIUy1r67,https://api.spotify.com/v1/tracks/6cGx4nFQpR8SaDoIUy1r67,https://api.spotify.com/v1/audio-analysis/6cGx4nFQpR8SaDoIUy1r67,179307,4,1
The Raconteurs,"Steady, As She Goes",66,"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",Essential Alternative,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,4xlEKYv7HmC8zXoJIbpZKM,spotify:track:4xlEKYv7HmC8zXoJIbpZKM,https://api.spotify.com/v1/tracks/4xlEKYv7HmC8zXoJIbpZKM,https://api.spotify.com/v1/audio-analysis/4xlEKYv7HmC8zXoJIbpZKM,215267,4,1
The White Stripes,Icky Thump,68,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",Alternative 00s,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,2LMq1O0NiqGhPOlXo3McYQ,spotify:track:2LMq1O0NiqGhPOlXo3McYQ,https://api.spotify.com/v1/tracks/2LMq1O0NiqGhPOlXo3McYQ,https://api.spotify.com/v1/audio-analysis/2LMq1O0NiqGhPOlXo3McYQ,254533,4,1
The Blues Magoos,(We Ain't Got) Nothin' Yet,38,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",Alternative 60s,0.398,0.864,10,-8.199,1,0.0492,0.523,0.0,0.0985,0.782,148.47,6cQdZhnwKIeLud5qTD7BuQ,spotify:track:6cQdZhnwKIeLud5qTD7BuQ,https://api.spotify.com/v1/tracks/6cQdZhnwKIeLud5qTD7BuQ,https://api.spotify.com/v1/audio-analysis/6cQdZhnwKIeLud5qTD7BuQ,135747,4,1
Japandroids,North East South West,37,"['canadian indie', 'indie rock', 'modern alternative rock', 'modern rock', 'noise pop', 'noise rock', 'vancouver indie', 'vancouver punk']",Garage Rock Revival,0.167,0.953,7,-2.919,1,0.0694,0.0472,0.0,0.0941,0.46,145.06,1hB1x77QvlXC10hvqaBd36,spotify:track:1hB1x77QvlXC10hvqaBd36,https://api.spotify.com/v1/tracks/1hB1x77QvlXC10hvqaBd36,https://api.spotify.com/v1/audio-analysis/1hB1x77QvlXC10hvqaBd36,260867,4,1
girlhouse,loaded gun,35,[],undercurrents,0.772,0.692,11,-8.192,1,0.0513,0.00742,0.00246,0.268,0.869,126.97,0pZsHpKYy6BpBpez1X1dBs,spotify:track:0pZsHpKYy6BpBpez1X1dBs,https://api.spotify.com/v1/tracks/0pZsHpKYy6BpBpez1X1dBs,https://api.spotify.com/v1/audio-analysis/0pZsHpKYy6BpBpez1X1dBs,230905,4,1
IRONTOM,Call Me the West (with The Dead Deads),38,"['modern alternative rock', 'modern rock']",New Alt-Rock Mixtape,0.575,0.904,1,-3.501,0,0.0384,0.00141,0.000209,0.149,0.769,105.071,5RKOybryugxajbMOTU9aIl,spotify:track:5RKOybryugxajbMOTU9aIl,https://api.spotify.com/v1/tracks/5RKOybryugxajbMOTU9aIl,https://api.spotify.com/v1/audio-analysis/5RKOybryugxajbMOTU9aIl,214330,4,1
The Rapture,How Deep Is Your Love?,52,"['alternative dance', 'dance-punk', 'electronica', 'indie rock', 'modern rock', 'new rave']",Garage Rock Revival,0.472,0.826,9,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326,7ddGC67DasWO30q5YepUJe,spotify:track:7ddGC67DasWO30q5YepUJe,https://api.spotify.com/v1/tracks/7ddGC67DasWO30q5YepUJe,https://api.spotify.com/v1/audio-analysis/7ddGC67DasWO30q5YepUJe,385920,4,1
Haley Heynderickx,Francis,40,"['indie folk', 'indie pop', 'indie rock', 'portland indie', 'small room']",Modern Eclectic,0.653,0.337,0,-14.722,0,0.0347,0.878,6.22e-05,0.0841,0.214,84.146,1ymNYpCCZqXdGG5mpBSWJF,spotify:track:1ymNYpCCZqXdGG5mpBSWJF,https://api.spotify.com/v1/tracks/1ymNYpCCZqXdGG5mpBSWJF,https://api.spotify.com/v1/audio-analysis/1ymNYpCCZqXdGG5mpBSWJF,123000,4,1
CAYAM,Chaos in the Distance,46,[],Altar,0.749,0.547,9,-11.342,0,0.0471,0.147,0.866,0.109,0.101,129.002,2dNYZepmpo2RrnytcoZTrW,spotify:track:2dNYZepmpo2RrnytcoZTrW,https://api.spotify.com/v1/tracks/2dNYZepmpo2RrnytcoZTrW,https://api.spotify.com/v1/audio-analysis/2dNYZepmpo2RrnytcoZTrW,372151,4,1
PJ Harvey,Sheela-na-gig,32,"['alternative rock', 'art pop', 'art rock', 'lilith', 'melancholia', 'permanent wave', 'piano rock', 'rock', 'singer-songwriter']",Alternative 90s,0.469,0.902,10,-6.147,1,0.0651,0.00617,0.000521,0.0813,0.413,123.972,38lK7SKreBMlqV0nLs0ode,spotify:track:38lK7SKreBMlqV0nLs0ode,https://api.spotify.com/v1/tracks/38lK7SKreBMlqV0nLs0ode,https://api.spotify.com/v1/audio-analysis/38lK7SKreBMlqV0nLs0ode,199107,4,1
The Raconteurs,"Steady, as She Goes",66,"['alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",Essential Alternative,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,4xlEKYv7HmC8zXoJIbpZKM,spotify:track:4xlEKYv7HmC8zXoJIbpZKM,https://api.spotify.com/v1/tracks/4xlEKYv7HmC8zXoJIbpZKM,https://api.spotify.com/v1/audio-analysis/4xlEKYv7HmC8zXoJIbpZKM,215267,4,1
Elvis Costello,Alison,58,"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']",Alternative 70s,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99e-05,0.112,0.377,176.647,1v98rfd0an913AzHvMNG8a,spotify:track:1v98rfd0an913AzHvMNG8a,https://api.spotify.com/v1/tracks/1v98rfd0an913AzHvMNG8a,https://api.spotify.com/v1/audio-analysis/1v98rfd0an913AzHvMNG8a,204533,4,1
Miley Cyrus,Midnight Sky,79,"['dance pop', 'pop', 'post-teen pop']",Alternative Beats,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,27ycaQnQAxaPiyeg3nr2aB,spotify:track:27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/tracks/27ycaQnQAxaPiyeg3nr2aB,https://api.spotify.com/v1/audio-analysis/27ycaQnQAxaPiyeg3nr2aB,223279,4,1
Richard D. James,#20 (Lichen),33,[],Not Quite Classical,0.162,0.112,0,-17.167,1,0.0379,0.954,0.915,0.116,0.0504,70.04,4ovtBDG1jiIXe033VVhNgq,spotify:track:4ovtBDG1jiIXe033VVhNgq,https://api.spotify.com/v1/tracks/4ovtBDG1jiIXe033VVhNgq,https://api.spotify.com/v1/audio-analysis/4ovtBDG1jiIXe033VVhNgq,237832,3,1
The Rapture,Echoes,40,"['alternative dance', 'dance-punk', 'electronica', 'indie rock', 'modern rock', 'new rave']",Garage Rock Revival,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,45rHxi95lwLcLGx3MjQ4NW,spotify:track:45rHxi95lwLcLGx3MjQ4NW,https://api.spotify.com/v1/tracks/45rHxi95lwLcLGx3MjQ4NW,https://api.spotify.com/v1/audio-analysis/45rHxi95lwLcLGx3MjQ4NW,186520,4,1
The Hunna,Bad Place,56,"['indie anthem-folk', 'modern alternative rock', 'modern rock', 'rock']",The New Alt,0.648,0.564,9,-3.972,1,0.0322,0.216,0.0,0.0854,0.357,132.932,7CFbskWjyQA92IvdApIIpV,spotify:track:7CFbskWjyQA92IvdApIIpV,https://api.spotify.com/v1/tracks/7CFbskWjyQA92IvdApIIpV,https://api.spotify.com/v1/audio-analysis/7CFbskWjyQA92IvdApIIpV,139729,4,1
Saint Sister,Causing Trouble - Kormac Remix,50,['irish indie'],Modern Eclectic,0.306,0.54,5,-7.196,1,0.0414,0.625,0.00454,0.152,0.147,75.382,1qUgzpJVwoKPINBGbgOZAG,spotify:track:1qUgzpJVwoKPINBGbgOZAG,https://api.spotify.com/v1/tracks/1qUgzpJVwoKPINBGbgOZAG,https://api.spotify.com/v1/audio-analysis/1qUgzpJVwoKPINBGbgOZAG,227707,4,1
White Town,Your Woman,63,['derby indie'],Alternative 90s,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.643,4ACxa9buEUnOdYEoPcnMpi,spotify:track:4ACxa9buEUnOdYEoPcnMpi,https://api.spotify.com/v1/tracks/4ACxa9buEUnOdYEoPcnMpi,https://api.spotify.com/v1/audio-analysis/4ACxa9buEUnOdYEoPcnMpi,259893,4,1
Twin Peaks,What's The Matter,30,"['chicago indie', 'indie garage rock', 'indie rock', 'modern power pop']",undercurrents,0.511,0.698,7,-7.057,1,0.0413,0.0958,0.000214,0.375,0.858,170.746,7xNFJzDzbes1DQIP59ZQSE,spotify:track:7xNFJzDzbes1DQIP59ZQSE,https://api.spotify.com/v1/tracks/7xNFJzDzbes1DQIP59ZQSE,https://api.spotify.com/v1/audio-analysis/7xNFJzDzbes1DQIP59ZQSE,201920,4,1
Mr. Oizo,Positif,44,"['alternative dance', 'dance-punk', 'electro house', 'filter house', 'new rave', 'ninja']",Bloghouse,0.744,0.928,10,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,3KEnGyuImTqe7asrYW0kUv,spotify:track:3KEnGyuImTqe7asrYW0kUv,https://api.spotify.com/v1/tracks/3KEnGyuImTqe7asrYW0kUv,https://api.spotify.com/v1/audio-analysis/3KEnGyuImTqe7asrYW0kUv,171120,4,1
Primal Scream,Movin' on Up,63,"['alternative rock', 'big beat', 'britpop', 'dance rock', 'new wave', 'rock', 'scottish indie']",Alternative 90s,0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,67ncFJWaIbJdqZl1bpEppz,spotify:track:67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/tracks/67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/audio-analysis/67ncFJWaIbJdqZl1bpEppz,228267,4,1
We Are Scientists,The Great Escape,46,"['alternative dance', 'dance-punk', 'indie rock', 'modern rock', 'new rave']",Alternative 00s,0.472,0.925,9,-4.57,1,0.0415,0.000305,4.44e-06,0.0755,0.746,146.97,37MkbRqfMdO4qlNj7C4Wfa,spotify:track:37MkbRqfMdO4qlNj7C4Wfa,https://api.spotify.com/v1/tracks/37MkbRqfMdO4qlNj7C4Wfa,https://api.spotify.com/v1/audio-analysis/37MkbRqfMdO4qlNj7C4Wfa,198833,4,1
Bloc Party,Banquet,64,"['alternative dance', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']",Essential Alternative,0.575,0.936,10,-4.913,0,0.0512,0.000128,0.0146,0.0828,0.879,150.234,4juzduULFJiZVIcrC1tkxE,spotify:track:4juzduULFJiZVIcrC1tkxE,https://api.spotify.com/v1/tracks/4juzduULFJiZVIcrC1tkxE,https://api.spotify.com/v1/audio-analysis/4juzduULFJiZVIcrC1tkxE,201360,4,1
Layten Kramer,When a Love's Not Around,26,[],undercurrents,0.584,0.59,8,-7.479,1,0.0323,0.533,0.0334,0.0906,0.628,122.042,567iWLya4Cs4XfsWINHYjv,spotify:track:567iWLya4Cs4XfsWINHYjv,https://api.spotify.com/v1/tracks/567iWLya4Cs4XfsWINHYjv,https://api.spotify.com/v1/audio-analysis/567iWLya4Cs4XfsWINHYjv,207213,4,1
